id,rtti_name,short_name,vtable_rva
451,StopCameraAnimationEvent,stopcameraanimation,0x2af5db0
452,StopControlEvent,stopcontrol,0x2af5f70
453,StopDialogEvent,stopdialog,0x2b5ca80
454,StopEnvMapProbeRenderEvent,stopenvmapproberender,0x2b52478
455,StoppedAimingEvent,stoppedaiming,0x2b15388
456,StoppedShootingEvent,stoppedshooting,0x2b15350
457,StopSoundEvent,stopsound,0x2b54a38
458,StopTravelModeEvent,stoptravelmode,0x2b57f28
459,SubordinateAddedEvent,subordinateadded,0x2b55fe0
460,SubordinatePromotedEvent,subordinatepromoted,0x2b55de8
461,SubordinateRemovedEvent,subordinateremoved,0x2b55db0
462,SupplyOrderWaresAddedEvent,supplyorderwaresadded,0x2b541b0
463,SupplyOrderWaresRemovedEvent,supplyorderwaresremoved,0x2b54098
464,SupplyWaresAddedEvent,supplywaresadded,0x2b54140
465,SupplyWaresRemovedEvent,supplywaresremoved,0x2b541e8
466,TakeShipFromStorageEvent,takeshipfromstorage,0x2b536c0
467,TargetInvalidEvent,targetinvalid,0x2b55fa8
468,TargetLostEvent,targetlost,0x2b54c30
469,TeleportEvent,teleport,0x2b56718
470,TeleportFailedEvent,teleportfailed,0x2b565c8
471,TeleportSuccessfulEvent,teleportsuccessful,0x2b566e0
472,TempComponentAddedEvent,tempcomponentadded,0x2b54aa8
473,TempComponentRemovedEvent,tempcomponentremoved,0x2b54a70
474,TempZoneAddedEvent,tempzoneadded,0x2b54f78
475,TempZoneRemovedEvent,tempzoneremoved,0x2b54f40
476,TerraformingEventAvailableEvent,terraformingeventavailable,0x2b53298
477,TerraformingEventCompletedEvent,terraformingeventcompleted,0x2b531f0
478,TerraformingEventStartedEvent,terraformingeventstarted,0x2b53228
479,TerraformingHabitabilityChangedEvent,terraforminghabitabilitychanged,0x2a6e690
480,TerraformingProjectAvailableEvent,terraformingprojectavailable,0x2b53340
481,TerraformingProjectCompletedEvent,terraformingprojectcompleted,0x2b53308
482,TerraformingProjectFailedEvent,terraformingprojectfailed,0x2b53378
483,TerraformingProjectProductionStartedEvent,terraformingprojectproductionstarted,0x2b53458
484,TerraformingProjectStartedEvent,terraformingprojectstarted,0x2b53420
485,TerraformingProjectSucceededEvent,terraformingprojectsucceeded,0x2b532d0
486,TerraformingStatAddedEvent,terraformingstatadded,0x2b53260
487,TerraformingStatChangedEvent,terraformingstatchanged,0x2b53110
488,TerraformingStatRemovedEvent,terraformingstatremoved,0x2b53148
489,TimeWarpCancelledEvent,timewarpcancelled,0x2af5f38
490,TimeWarpFailedEvent,timewarpfailed,0x2af5e90
491,TimeWarpStartedEvent,timewarpstarted,0x2adfb28
492,TimeWarpStoppedEvent,timewarpstopped,0x2adfb60
493,TradeCancelledEvent,tradecancelled,0x2b57f98
494,TradeCargoArrivedEvent,tradecargoarrived,0x2b579e8
495,TradeCargoDepartedEvent,tradecargodeparted,0x2b57940
496,TradeCargoDestroyedEvent,tradecargodestroyed,0x2b579b0
497,TradeCompletedEvent,tradecompleted,0x2b57978
498,TradeStartedEvent,tradestarted,0x2b57a90
499,TrafficLevelChangedEvent,trafficlevelchanged,0x2b55058
500,TransitionEvent,transition,0x2b56e50
501,TransportedToOffsetEvent,transportedtooffset,0x2b56670
502,TravelDisabledEvent,traveldisabled,0x2b5cb98
503,TravelModeChargeAbortedEvent,travelmodechargeaborted,0x2af6050
504,TravelModeChargeStartedEvent,travelmodechargestarted,0x2b57ef0
505,TravelModeStartedEvent,travelmodestarted,0x2af6018
506,TravelModeStoppedEvent,travelmodestopped,0x2af6088
507,TriggerAnimationEvent,triggeranimation,0x2b580e8
508,TryEjectRecyclableEvent,tryejectrecyclable,0x2b527a8
509,TurretActivatedEvent,turretactivated,0x2b53810
510,TurretDeactivatedEvent,turretdeactivated,0x2b538b8
511,TurretRangeRequestedEvent,turretrangerequested,0x2b53f48
512,UITriggeredEvent,uitriggered,0x2b53d18
513,UndockedEvent,undocked,0x2b564e8
514,UndockingClearedEvent,undockingcleared,0x2a96c30
515,UndockingQueuedEvent,undockingqueued,0x2a6e850
516,UndockingStartedEvent,undockingstarted,0x2b564b0
517,UnitDestroyedEvent,unitdestroyed,0x2b54728
518,UnitStartedBuildingEvent,unitstartedbuilding,0x2b4b7e8
519,UnitStartedRepairingEvent,unitstartedrepairing,0x2b4b7b0
520,UnitStoppedBuildingEvent,unitstoppedbuilding,0x2b4b778
521,UnitStoppedRepairingEvent,unitstoppedrepairing,0x2b4b740
522,UniverseGeneratedEvent,universegenerated,0x2b5cbd0
523,UnlockPlatformTriggersEvent,unlockplatformtriggers,0x2b52e38
524,UpdateBuildEvent,updatebuild,0x2a6e8c0
525,UpdateDismantlingEvent,updatedismantling,0x2a96ca0
526,UpdateEngineParametersEvent,updateengineparameters,0x2b5c3b8
527,UpdateGravidarAccessEvent,updategravidaraccess,0x2b5c9a0
528,UpdateGravidarCloakFactorEvent,updategravidarcloakfactor,0x2b5c5e8
529,UpdateGravidarScanRadiusEvent,updategravidarscanradius,0x2b5c620
530,UpdateHoloMapEvent,updateholomap,0x2a6e6c8
531,UpdateMassTrafficInvolvementEvent,updatemasstrafficinvolvement,0x2b43e78
532,UpdateTradeOffersEvent,updatetradeoffers,0x2a6e9a0
533,UpdateZoneEvent,updatezone,0x2af5d40
534,VentureAbortedEvent,ventureaborted,0x2b53960
535,,venturecompleted,
536,,ventureshipadded,
537,,ventureshipremoved,
538,VerifyPathPointsEvent,verifypathpoints,0x2b53d50
539,VoiceOutputEvent,voiceoutput,0x2a96c68
540,VolatileWaresAddedEvent,volatilewaresadded,0x2b53b58
541,VolatileWaresRemovedEvent,volatilewaresremoved,0x2b53c00
542,WarpEvent,warp,0x2b57748
543,WeaponActivatedEvent,weaponactivated,0x2b55aa0
544,WeaponAmmoChangedEvent,weaponammochanged,0x2b52e70
545,WeaponDeactivatedEvent,weapondeactivated,0x2b55288
546,WeaponFiredEvent,weaponfired,0x2b55d08
547,WeaponFireRangeRequestedEvent,weaponfirerangerequested,0x2b53ea0
548,WeaponGroupActivatedEvent,weapongroupactivated,0x2b55250
549,WeaponGroupChangedEvent,weapongroupchanged,0x2a96b88
550,WeaponGroupDeactivatedEvent,weapongroupdeactivated,0x2b552f8
551,WeaponOverheatedEvent,weaponoverheated,0x2b374b8
552,WeaponShootTargetRemovedEvent,weaponshoottargetremoved,0x2b530d8
553,WeaponShootTargetSetEvent,weaponshoottargetset,0x2b53068
554,WeaponStartedAimingEvent,weaponstartedaiming,0x2b52f88
555,WeaponStartedShootingEvent,weaponstartedshooting,0x2b52ff8
556,WeaponStoppedAimingEvent,weaponstoppedaiming,0x2b52f50
557,WeaponStoppedShootingEvent,weaponstoppedshooting,0x2b52fc0
558,ZoneAddedEvent,zoneadded,0x2b54f08
559,ZoneRemovedEvent,zoneremoved,0x2b54ed0
